CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,TenureBucket,Exited
584.0,France,Female,44.0,5,95671.75,2,1,1,106564.88,Mid,0
453.0,Germany,Female,38.0,8,120623.21,1,1,0,129697.99,Loyal,0
803.0,Spain,Male,43.0,3,0.0,1,1,0,72051.44,Mid,0
601.0,Spain,Female,41.0,3,0.0,2,1,0,54342.83,Mid,0
531.0,Germany,Female,42.0,6,88324.31,2,1,0,75248.75,Loyal,0
664.0,France,Male,40.0,9,0.0,2,1,0,194767.3,Loyal,0
605.0,Spain,Female,57.0,2,0.0,3,1,0,66652.75,New,1
652.0,France,Female,37.0,4,0.0,2,1,0,143393.24,Mid,0
743.0,France,Male,40.0,8,68155.59,1,1,0,94876.65,Loyal,0
557.0,France,Male,34.0,3,83074.0,1,1,0,132673.22,Mid,0
660.0,Germany,Male,41.0,1,129901.21,1,1,0,26025.6,New,1
764.0,Spain,Male,29.0,5,0.0,2,1,0,65868.28,Mid,0
655.0,Germany,Male,52.0,9,144696.75,1,1,1,49025.79,Loyal,0
773.0,France,Male,25.0,2,135903.33,1,1,0,73656.38,New,0
602.0,France,Male,23.0,7,113758.48,2,0,0,84077.6,Loyal,0
610.0,France,Female,57.0,7,72092.95,4,0,1,113228.82,Loyal,1
711.0,France,Female,21.0,0,82844.33,2,0,1,1408.68,New,0
763.0,Spain,Female,39.0,7,0.0,2,1,0,19458.75,Loyal,0
553.0,Spain,Male,47.0,3,116528.15,1,0,0,145704.19,Mid,1
472.0,France,Female,37.0,1,0.0,2,1,1,48357.9,New,0
558.0,Germany,Male,39.0,10,144757.02,1,1,0,22878.16,Loyal,1
660.0,France,Female,35.0,6,100768.77,1,1,0,19199.61,Loyal,0
566.0,Germany,Male,62.0,4,120100.41,1,1,0,107563.16,Mid,1
625.0,France,Female,28.0,3,0.0,1,0,0,183646.41,Mid,0
681.0,Spain,Female,37.0,6,121231.39,1,1,1,146366.08,Loyal,0
525.0,France,Male,36.0,2,114628.4,1,0,1,168290.06,New,0
543.0,France,Female,36.0,3,0.0,2,0,0,26019.59,Mid,0
703.0,France,Female,45.0,5,0.0,2,1,0,131906.44,Mid,0
704.0,Spain,Female,36.0,2,175509.8,2,1,0,152039.67,New,0
667.0,Spain,Male,62.0,4,137260.78,1,0,1,94433.08,Mid,1
667.0,Germany,Male,32.0,0,103846.65,1,1,0,20560.69,New,0
593.0,France,Male,36.0,2,70181.48,2,1,0,80608.12,New,0
802.0,France,Female,60.0,3,92887.06,1,1,0,39473.63,Mid,1
684.0,France,Male,34.0,9,0.0,2,1,1,65257.57,Loyal,0
489.0,Germany,Female,46.0,8,92060.06,1,1,0,147222.95,Loyal,1
623.0,Germany,Male,33.0,2,80002.33,1,1,1,104079.62,New,0
569.0,Spain,Male,43.0,8,161546.68,2,0,1,178187.28,Loyal,0
531.0,Spain,Female,42.0,6,75302.85,2,0,0,57034.35,Loyal,0
427.0,France,Male,29.0,1,141325.56,1,1,1,93839.3,New,0
519.0,France,Female,21.0,1,146329.57,2,1,1,194867.27,New,0
621.0,Spain,Male,42.0,8,68683.68,1,1,1,74157.71,Loyal,0
596.0,Spain,Female,29.0,6,0.0,2,1,0,116696.77,Loyal,0
632.0,France,Male,50.0,2,0.0,2,0,0,57942.88,New,0
635.0,Germany,Female,28.0,3,81623.67,2,1,1,156791.36,Mid,0
586.0,Germany,Male,32.0,1,149814.54,1,1,0,31830.06,New,0
649.0,France,Male,46.0,5,0.0,2,1,1,76946.6,Mid,0
653.0,Germany,Female,25.0,2,158266.42,3,1,1,199357.24,New,0
559.0,France,Male,29.0,1,0.0,2,0,0,155639.76,New,0
539.0,France,Male,39.0,3,139153.68,2,1,0,147662.33,Mid,0
738.0,France,Male,18.0,4,0.0,2,1,1,47799.15,Mid,0
581.0,France,Female,37.0,10,104255.03,1,1,0,86609.37,Loyal,0
719.0,France,Female,22.0,7,114415.84,1,1,1,177497.4,Loyal,0
692.0,Germany,Male,53.0,7,150926.99,2,0,0,119817.19,Loyal,0
656.0,Spain,Female,34.0,6,59877.33,1,1,0,14032.62,Loyal,1
456.0,Spain,Male,32.0,9,147506.25,1,1,1,135399.21,Loyal,0
816.0,Spain,Male,62.0,6,151858.98,1,1,1,72814.31,Loyal,0
689.0,Spain,Female,31.0,3,139799.63,1,0,1,120663.57,Mid,0
569.0,France,Male,38.0,7,0.0,1,1,1,108469.2,Loyal,0
686.0,France,Male,39.0,4,0.0,2,1,0,155023.93,Mid,0
729.0,Spain,Female,38.0,10,0.0,2,1,0,189727.12,Loyal,0
525.0,Spain,Female,30.0,5,0.0,2,0,1,149195.44,Mid,0
642.0,France,Male,26.0,0,0.0,1,0,0,47472.68,New,0
646.0,France,Male,30.0,7,0.0,2,1,0,153566.97,Loyal,0
750.0,Spain,Female,33.0,3,161801.47,1,0,1,153288.97,Mid,1
561.0,France,Male,28.0,7,0.0,2,1,0,7797.01,Loyal,0
775.0,Germany,Female,62.0,0,161371.5,1,1,1,134869.93,New,0
634.0,France,Female,36.0,1,69518.95,1,1,0,116238.39,New,0
670.0,France,Male,36.0,7,0.0,2,0,0,59571.5,Loyal,0
714.0,France,Female,24.0,7,0.0,2,1,0,166335.0,Loyal,0
812.0,France,Male,24.0,10,0.0,2,1,1,156906.15,Loyal,0
453.0,France,Male,29.0,6,0.0,1,0,0,198376.02,Loyal,1
456.0,France,Female,62.0,1,165350.61,2,0,0,140758.07,New,1
771.0,France,Female,41.0,10,108309.0,4,1,1,137510.41,Loyal,1
676.0,France,Female,41.0,4,101457.14,1,1,1,79101.67,Mid,0
785.0,France,Male,55.0,5,0.0,2,1,1,7008.65,Mid,0
685.0,Spain,Male,31.0,10,135213.71,1,1,1,125777.28,Loyal,0
557.0,France,Female,46.0,4,96173.17,2,1,1,116378.31,Mid,0
492.0,Germany,Female,38.0,8,57068.43,2,1,0,188974.81,Loyal,0
711.0,France,Female,37.0,8,113899.92,1,0,0,80215.2,Loyal,0
789.0,Germany,Male,39.0,7,124828.46,2,1,1,124411.08,Loyal,0
744.0,Spain,Male,44.0,5,120654.68,1,1,0,82290.81,Mid,0
636.0,France,Male,31.0,6,0.0,2,1,1,2382.61,Loyal,0
718.0,France,Female,62.0,7,0.0,3,1,1,82782.08,Loyal,0
584.0,Spain,Female,38.0,3,0.0,2,1,1,4525.4,Mid,0
642.0,France,Male,36.0,4,0.0,2,1,1,195224.91,Mid,0
633.0,France,Male,35.0,3,0.0,2,1,1,36249.76,Mid,0
679.0,France,Female,39.0,4,0.0,1,0,0,172939.3,Mid,1
717.0,Spain,Male,35.0,1,0.0,3,0,0,174770.14,New,1
670.0,Germany,Female,35.0,2,79585.96,1,0,1,198802.9,New,0
537.0,France,Male,38.0,3,0.0,2,0,0,141023.01,Mid,0
512.0,France,Male,43.0,1,0.0,2,1,1,52471.36,New,0
530.0,France,Female,48.0,0,0.0,1,1,0,85081.09,New,0
486.0,Spain,Male,24.0,1,0.0,1,1,0,98802.76,New,0
671.0,France,Female,31.0,6,0.0,2,1,1,15846.42,Loyal,0
654.0,France,Male,29.0,4,132954.64,1,1,1,146715.07,Mid,0
698.0,France,Female,39.0,4,0.0,2,0,1,47455.82,Mid,0
660.0,Spain,Male,30.0,4,0.0,2,1,0,129149.06,Mid,0
821.0,France,Female,28.0,8,0.0,1,1,1,36754.13,Loyal,0
730.0,France,Female,22.0,9,65763.57,1,1,1,145792.01,Loyal,0
721.0,France,Male,41.0,6,135071.12,1,1,1,64477.25,Loyal,0
537.0,Germany,Female,37.0,7,158411.95,4,1,1,117690.58,Loyal,1
537.0,France,Female,45.0,7,158621.04,1,1,0,120892.96,Loyal,1
552.0,Germany,Male,50.0,4,121175.56,1,1,0,117505.07,Mid,1
547.0,Germany,Male,25.0,4,98141.57,2,1,1,52309.8,Mid,0
646.0,France,Male,36.0,6,124445.52,1,1,0,88481.32,Loyal,0
724.0,Germany,Male,31.0,2,160997.54,2,0,1,64831.36,New,0
450.0,Spain,Female,34.0,2,0.0,2,1,0,175480.93,New,0
706.0,Spain,Female,42.0,8,95386.82,1,1,1,75732.25,Loyal,0
569.0,Spain,Male,31.0,1,115406.97,1,0,0,145528.22,New,0
599.0,Germany,Male,25.0,7,108380.72,1,1,1,79005.95,Loyal,0
681.0,France,Female,43.0,8,154100.3,1,0,0,114659.81,Loyal,0
669.0,France,Female,41.0,0,150219.41,2,0,0,107839.03,New,0
769.0,Germany,Female,31.0,7,148913.72,2,1,0,53817.23,Loyal,0
548.0,France,Female,32.0,2,172448.77,1,1,0,188083.77,New,1
527.0,Spain,Male,33.0,9,132168.28,1,0,0,98734.15,Loyal,0
644.0,Spain,Female,46.0,6,12459.19,1,0,0,156787.34,Loyal,1
809.0,Spain,Female,48.0,2,0.0,1,1,0,160976.85,New,1
530.0,Germany,Female,42.0,0,99948.45,1,0,1,97338.62,New,0
799.0,France,Female,32.0,3,106045.92,2,1,1,17938.0,Mid,0
792.0,France,Female,42.0,2,0.0,2,1,0,92664.09,New,0
633.0,France,Female,37.0,9,156091.97,1,1,0,72008.61,Loyal,0
606.0,France,Female,36.0,10,0.0,2,0,1,155641.46,Loyal,0
461.0,France,Male,51.0,9,119889.84,1,0,0,56767.67,Loyal,1
726.0,Germany,Male,30.0,5,111375.32,2,1,0,2704.09,Mid,0
573.0,Spain,Male,41.0,5,0.0,2,0,1,14479.29,Mid,0
513.0,France,Female,45.0,0,164649.52,3,1,0,49915.52,New,1
572.0,Germany,Male,47.0,4,99353.42,1,1,0,196549.85,Mid,1
556.0,Spain,Male,38.0,2,115463.16,1,1,0,150679.65,New,0
418.0,France,Male,34.0,8,155973.88,1,1,0,154208.96,Loyal,0
501.0,France,Male,42.0,9,114631.23,1,0,1,91429.74,Loyal,0
754.0,Germany,Female,48.0,7,141819.02,1,1,0,93550.53,Loyal,1
607.0,France,Male,25.0,3,0.0,2,0,0,187048.72,Mid,0
702.0,France,Male,37.0,10,150525.8,1,1,1,94728.49,Loyal,0
695.0,Spain,Male,35.0,7,0.0,2,1,0,160387.98,Loyal,0
701.0,Germany,Male,32.0,5,102500.34,1,0,0,106287.77,Mid,0
484.0,Spain,Male,36.0,8,0.0,2,1,0,186136.48,Loyal,0
656.0,Spain,Female,40.0,10,167878.5,1,0,1,151887.16,Loyal,0
629.0,France,Male,40.0,9,0.0,1,1,0,106.67,Loyal,0
596.0,Germany,Male,54.0,1,123544.0,1,1,1,120314.75,New,1
791.0,France,Female,33.0,3,0.0,1,1,1,144413.92,Mid,1
715.0,France,Male,21.0,8,0.0,2,1,0,68666.63,Loyal,0
545.0,Germany,Male,37.0,9,110483.86,1,1,1,127394.67,Loyal,0
773.0,France,Male,25.0,1,124532.78,2,0,1,11723.57,New,0
696.0,Spain,Male,47.0,1,106758.6,1,1,1,80591.18,New,0
602.0,Spain,Male,34.0,8,98382.72,1,1,0,39542.0,Loyal,0
850.0,Spain,Male,48.0,2,0.0,1,1,0,169425.3,New,1
728.0,France,Male,38.0,1,115934.74,1,1,1,139059.05,New,0
694.0,Germany,Female,58.0,1,143212.22,1,0,0,102628.56,New,1
588.0,Spain,Male,46.0,8,0.0,1,1,0,61931.21,Loyal,0
597.0,Germany,Female,43.0,7,119127.46,2,1,0,55809.92,Loyal,0
676.0,Spain,Male,36.0,1,82729.49,1,1,0,113810.12,New,0
634.0,Spain,Female,35.0,10,0.0,1,1,0,82634.41,Loyal,0
826.0,Spain,Female,56.0,8,174506.1,2,0,1,161802.82,Loyal,1
505.0,France,Male,26.0,8,112972.57,1,1,0,145011.62,Loyal,0
