CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,TenureBucket,Exited
445.0,France,Male,37.0,3,0.0,2,1,1,180012.39,Mid,0
675.0,France,Male,28.0,9,0.0,1,1,0,134110.93,Loyal,0
568.0,Germany,Male,40.0,1,99282.63,1,0,0,134600.94,New,1
578.0,France,Male,38.0,7,82259.29,1,1,0,8996.97,Loyal,0
524.0,Spain,Female,32.0,6,0.0,1,1,1,132861.9,Loyal,1
614.0,Spain,Male,36.0,5,0.0,2,1,0,130610.78,Mid,0
516.0,France,Male,51.0,8,120124.35,2,0,1,168773.54,Loyal,0
614.0,France,Female,35.0,1,0.0,2,1,1,3342.62,New,0
561.0,France,Male,29.0,9,120268.13,1,1,1,173870.39,Loyal,0
607.0,Germany,Male,36.0,8,143421.74,1,1,0,97879.02,Loyal,0
633.0,Germany,Male,30.0,2,109786.82,2,1,1,139712.81,New,0
660.0,France,Male,41.0,3,0.0,2,1,1,108665.89,Mid,0
850.0,Germany,Male,32.0,3,137714.25,1,0,1,159403.68,Mid,0
744.0,France,Male,31.0,9,120718.28,1,1,1,58961.49,Loyal,0
617.0,France,Male,30.0,3,132005.77,1,1,0,142940.39,Mid,0
581.0,Spain,Male,49.0,10,0.0,2,0,0,41623.59,Loyal,0
660.0,Germany,Female,23.0,6,166070.48,2,0,0,90494.72,Loyal,0
383.0,Germany,Male,30.0,0,127760.07,1,1,0,81537.85,New,1
850.0,Spain,Male,39.0,6,133214.13,1,0,1,20769.88,Loyal,0
672.0,France,Female,50.0,1,0.0,1,1,0,12106.82,New,1
705.0,France,Female,31.0,3,119794.67,1,0,0,182528.44,Mid,0
612.0,France,Female,62.0,2,126473.33,1,0,1,147545.65,New,0
534.0,France,Female,34.0,7,121551.58,2,1,1,70179.0,Loyal,0
499.0,Germany,Female,29.0,6,148051.52,1,1,0,118623.94,Loyal,0
807.0,Germany,Female,31.0,1,93460.47,2,0,0,172782.69,New,0
682.0,Spain,Female,59.0,0,122661.39,1,0,1,84803.76,New,0
748.0,Germany,Female,31.0,1,99557.94,1,1,0,199255.32,New,0
615.0,France,Female,23.0,4,0.0,2,1,0,196476.19,Mid,0
693.0,France,Male,36.0,8,178111.82,1,0,0,58719.63,Loyal,1
689.0,Spain,Male,62.0,1,108555.07,1,0,1,167969.15,New,0
675.0,France,Male,62.0,1,0.0,2,1,0,157097.09,New,0
570.0,Germany,Male,42.0,0,107856.57,2,1,0,127528.84,New,0
740.0,Germany,Male,40.0,4,114318.78,2,1,0,129333.69,Mid,1
678.0,France,Female,35.0,4,0.0,1,1,0,125518.32,Mid,0
623.0,France,Female,57.0,7,71481.79,2,1,1,84421.34,Loyal,0
637.0,France,Male,33.0,0,132255.99,2,0,1,74588.41,New,0
619.0,Germany,Male,29.0,4,98955.87,1,0,1,131712.51,Mid,0
633.0,France,Male,29.0,7,0.0,1,1,1,130224.73,Loyal,0
649.0,Germany,Male,24.0,7,101195.23,1,0,0,133091.32,Loyal,0
536.0,France,Female,22.0,5,89492.62,1,0,0,42934.43,Mid,0
526.0,Germany,Male,61.0,6,133845.28,2,1,1,45180.8,Loyal,0
766.0,Germany,Male,43.0,6,112088.04,2,1,1,36706.56,Loyal,0
794.0,Spain,Female,30.0,1,154970.54,1,0,1,156768.45,New,0
644.0,Germany,Female,51.0,4,95560.04,1,0,0,72628.84,Mid,1
850.0,France,Male,30.0,9,121535.18,1,0,0,40313.47,Loyal,0
783.0,Spain,Male,39.0,9,0.0,2,1,0,143752.77,Loyal,0
627.0,Spain,Female,30.0,6,0.0,1,1,1,113408.47,Loyal,0
802.0,France,Male,29.0,9,127414.55,1,1,1,134459.12,Loyal,0
708.0,Spain,Male,46.0,7,68799.72,1,1,1,39704.14,Loyal,0
522.0,France,Female,34.0,3,0.0,2,1,1,3894.34,Mid,0
592.0,France,Male,37.0,4,212692.97,1,0,0,176395.02,Mid,0
763.0,Germany,Female,61.0,1,66101.89,1,1,1,143981.27,New,0
650.0,Spain,Male,24.0,8,108881.73,1,1,0,104492.83,Loyal,0
